tail_number,manufacturer,model
"P4-LAD","Lockheed","L-382G"
"N354WQ","Bombardier","Q400"
"N902BC","Embraer","ERJ-145"
"N21108","Boeing","B757-200PAX"
"N793","Boeing","737-700PASSENGERONLY"
"N685FE","Airbus","A300-600"
"N551UA","Boeing","B757-222PAX"
"N930AT","Boeing","Boeing717-200"
"N39461","Boeing","B737-900ERPAX"
"N830AY","Canadair","RJ-200"
"N261FL","Boeing","B727-2"
"N734","Boeing","B737-7/L"
"N108NS","Piper","PA-32COMBI"
"N608LM","Embraer","EMB-145"
"N442YX","Embraer","ERJ-170-200LR"
"N312AT","Boeing","B737-700-psgr"
"N862AS","Embraer","RJ-200"
"N160SY","Embraer","ERJ175"
"N767VA","Boeing","B767-2-PSGR"
"N644AS","Boeing","B737-790ALLPAX"
"n8646a","Bombardier","CRJ200"
"N496UA","Airbus","AirbusA320-232PAX"
"N905FR","Airbus","A319-1"
"N354MC","Boeing","B747-2/3"
"N7DQ","BELL","B-206A"
"N210AA","McDonnell-Douglas","MD-80"
"N693CA","Bombardier","RJ-900"
"N560SW","Embraer","EMB120-ER"
"N402A","McDonnell-Douglas","MD-80"
"N270","Boeing","737-700PASSENGERONLY"
"N976EV","McDonnell-Douglas","MD-88-PSGR"
"N879DN","Boeing","737-900ER-PSGR"
"N779","Boeing","B737-7/L"
"N664AA","Boeing","B757-223PASSENGER"
"N521","Boeing","B737-5"
"N918FX","ATR","ATR42-300"
"N373SK","Embraer","Embraer-140"
"N814AX","McDonnell-Douglas","DC-8-6F"
"N235NN","Embraer","ERJ-175"
"N712S","Boeing","B737-PSGR"
"N586AA","McDonnell-Douglas","SUPER80PASSENGER"
"N420XJ","Saab","Saab340B"
"N942UA","Boeing","B737-500PAX"
"N291US","Boeing","B727-2"
"N847HK","Embraer","EMB-145"
"N752SK","Canadair","RJ-700"
"N625US","Boeing","B747-1"
"N983","Boeing","717-200PASSENGERONLY"
"N466FE","Boeing","B727-2"
"N888LT","Boeing","B757-200"
"N331PQ","Bombardier","CRJ-900LR-PSGR"
"N782SF","Bombardier","BD-700-1A11PSGR"
"N18066","Airbus","A300-6"
"N670UA","Boeing","B767-322DRPAX"
"N526WN","Boeing","737-500PASSENGERONLY"
"N376NB","Airbus","A319"
"N918DE","McDonnell-Douglas","MD-88-PSGR"
"N243WN","Boeing","B737-7/L"
"N813SK","Bombardier","RJ-900"
"N712AX","Boeing","B767-2"
"N585HA","Boeing","b767-3G5ER"
"N947NN","Boeing","B737PASSENGER"
"N420AW","Canadair","RJ-200"
"N85323","Embraer","EMB-175-PSGR"
"N291","Boeing","B737-7/L"
"N756NA","Boeing","B757-2"
"N13990","Embraer","ERJ-145LR"
"N630VA","Airbus","A320-214"
"N476HA","Boeing","b717-200"
"N982AT","Boeing","Boeing717-200"
"N338","Boeing","B737-3"
"N8884E","Canadair","RJ-200"
"N190AN","Boeing","B757-223PASSENGER"
"N782AN","Boeing","B777-200PASSENGER"
"N6708D","Boeing","B757-2"
"N526MD","McDonnell-Douglas","DC-10-F"
"N921RW","McDonnell-Douglas","DC9-30-PSGR"
"N3765","Boeing","B737-8"
"N819AE","Embraer","ERJ-140"
"N242NW","McDonnell-Douglas","DC-10-3"
"N718AE","Embraer","ERJ-135"
"N59338","Boeing","B737-3"
"N426XJ","SAAB","SF-340/A"
"N299PQ","Bombardier","CRJ-900LR-PSGR"
"N14336","Boeing","B737-3"
"N630AU","Boeing","B757-2"
"N989FE","Cessna","CE-208B"
"N475AA","McDonnell-Douglas","SUPER80PASSENGER"
"N8942A","Canadair","RJ-200"
"N337AZ","Boeing","767"
"N785AT","Boeing","B727-2"
"N189DN","Boeing","B767-3"
"N676AE","Embraer","ERJ-145LR"
"N534UW","Airbus","A321-231"
"N383AE","SAAB","SF-340/A"
"N250NV","Airbus","A320"
"795AX","Boeing","B767-232SF"
"N952AT","Boeing","Boeing717-200"
"N856NN","Boeing","B737-823PASSENGER"
"N761AJ","Boeing","B777-223ERPASSENGER"
"N142HQ","GulfStream","G-IV-450PSGR"
"N635WN","Boeing","737-300PASSENGERONLY"
"N484UA","Airbus","AirbusA320-232PAX"
"N344NB","Airbus","A319-PSGR"
"N199AA","Boeing","B757-223PASSENGER"
"N924UW","Boeing","B757-2"
"N823AN","Boeing","B787-9"
"N724AN","Boeing","B777-300PASSENGER"
"N601GM","Embraer","EMB-145"
"N432WN","Boeing","B737-7/L"
"N304WL","McDonnell-Douglas","DC-10-F"
"N14920","Embraer","ERJ-145LR"
"N998AT","Boeing","Boeing717-200"
"N900UW","Airbus","A321-231"
"N789AX","Boeing","B767-2"
"N681AE","Embraer","ERJ-145"
"N546AS","Boeing","B737-890ALLPAX"
"N390AA","Boeing","B767-323ERPASSENGER"
"N257PS","GE","RJ-200"
"N1027N","McDonnell-Douglas","DC-6A"
"N956DN","McDonnell-Douglas","MD-90-30-PSGR"
"N8613","Boeing","737-800PASSENGERONLY"
"N76528","Boeing","B737-800PAX"
"N641GT","Boeing","B767-300ER"
"n608xj","Bombardier","CRJ200"
"N492SW","Canadair","RJ-200"
"N903XJ","Bombardier","RJ-900"
"N351NW","Airbus","A320-PSGR"
"N796AS","Boeing","B737-490ALLPAX"
"N206JB","Embraer","EMB-190"
"N689","Boeing","B737-3"
"N928AN","Boeing","B737-823PASSENGER"
"N828BX","McDonnell-Douglas","DC-8/71Cargo"
"N730SK","Canadair","RJ-700"
"N605RR","Embraer","ERJ-145"
"N961DL","McDonnell-Douglas","MD-88-PSGR"
"N438YX","Embraer","ERJ-170-200LR"
"N863RW","Embraer","ERJ-170-100SE"
"N309AS","Boeing","B737-990ALLPAX"
"N7703A","Boeing","B-737-76N"
"N155GJ","Canadair","RJ-700"
"N647AW","Airbus","A320-232"
"N501SX","Airbus","A319"
"n445ca","Bombardier","CRJ200"
"N357PH","DeHavilland","DHC8-200"
"N903ME","Boeing","B717-2"
"N213WN","Boeing","B737-7/L"
"N795FD","Boeing","B-757-200"
"N688AA","Boeing","B757-223PASSENGER"
"N555AN","McDonnell-Douglas","SUPER80PASSENGER"
"N932","Boeing","B737-7/L"
"N397FE","McDonnell-Douglas","DC-10-10"
"N8318WN","Boeing","737-800PASSENGERONLY"
"N264WN","Boeing","737-700PASSENGERONLY"
"N738AL","Boeing","B737-7"
"N11186","Embraer","ERJ-145XR"
"N611","Boeing","B737-3"
"N445XJ","Saab","Saab340B"
"N961","Boeing","737-700PASSENGERONLY"
"N314TZ","Boeing","B737-8"
"N8639","Boeing","737-800PASSENGERONLY"
"N163AA","Airbus","A321-231"
"N77012","Boeing","B777-200PAX"
"N646SW","Boeing","B-737-3H4"
"n8877a","Bombardier","CRJ200"
"N501","Boeing","B737-5"
"N906R","McDonnell-Douglas","DC-8-6F"
"N356WW","GulfStream","G550"
"N801UP","McDonnell-Douglas","DC-8-73F"
"N2138U","Boeing","B777-300ERPAX"
"N69804","Boeing","B737-900ERPAX"
"N564","Boeing","737-700PASSENGERONLY"
"N404","Boeing","737-700PASSENGERONLY"
"N931DN","McDonnell-Douglas","MD-90-30-PSGR"
"N27239","Boeing","B737-800PAX"
"N8315WN","Boeing","737-800PASSENGERONLY"
"N12122","Embraer","ERJ-145XR"
"N737KA","Boeing","B-737-700"
"N610AE","Embraer","ERJ-145"
"N965JT","Airbus","A321-231"
"N445AW","Canadair","RJ-200"
"N8672F","Boeing","B-737-8H4"
"N31412","Boeing","B737-900PAX"
"N7728D","Boeing","B-737-7BD"
"N162GJ","Canadair","RJ-700"
"N652JB","Airbus","A320-232-PSGR"
"N506US","Boeing","B757-2"
"N363DH","Airbus","A300X4"
"N220MJ","Saab","Saab340B"
"N696DL","Boeing","757-232-PSGR"
"N563AS","Boeing","B737-890ALLPAX"
"N934UA","Boeing","B737-500PAX"
"N403QX","DeHavilland","DHC8-400"
"N834NN","Boeing","B737-823PASSENGER"
"N271SK","Embraer","Embraer-145"
"N743PE","BAE","JETSTM31"
"N120FE","Boeing","767-3S2F"
"N616AA","Boeing","B757-200PASSENGER"
"N451PA","Boeing","B747-46NF"
"N319NE","Boeing","B727-200"
"N16918","Embraer","ERJ-145LR"
"N910AW","Boeing","B757-2G7"
"N805MD","Embraer","ERJ170-100SU"
"N219NN","Embraer","EMB175"
"N70352","Boeing","B737-3"
"N570RP","Embraer","Embraer-145"
"N409AS","Boeing","B737-990ERALLPAX"
"N278AE","SAAB","Saab340"
"N126DL","Boeing","B767-3"
"N971","Boeing","717-200PASSENGERONLY"
"N871DN","Boeing","737-900ER-PSGR"
"N774AX","Boeing","B767-232SF"
"N658AE","Embraer","ERJ-145"
"N513WN","Boeing","737-500PASSENGERONLY"
"N369SW","Boeing","B-737-3H4"
"N227NV","Airbus","A320"
"N938UW","Boeing","B757-2B7"
"N841AY","Canadair","RJ-200"
"N748WN","Boeing","737-700PASSENGERONLY"
"N621AU","Boeing","B757-2"
"N458CA","Canadair","CRJ-2/4"
"N325UA","Boeing","B737-3"
"N173JB","Embraer","EMB-190"
"N914UA","Boeing","B737-5"
"N809MC","Boeing","B747-2/3"
"N707DN","Boeing","B-777-2"
"N578FE","McDonnell-Douglas","MD11"
"N943AX","McDonnell-Douglas","DC-9-30"
"N414YX","Embraer","ERJ-175-200LR"
"N848NN","Boeing","B737-823PASSENGER"
"N284AS","Embraer","EMB-120"
"N7530A","McDonnell-Douglas","SUPER80PASSENGER"
"N133AN","Airbus","A321-231"
"N938WN","Boeing","B-737-7H4"
"N408UA","Airbus","AirbusA320-232PAX"
"N841DN","Boeing","737-932ER-PSGR"
"N277FE","Boeing","B727-2"
"N748YX","Embraer","ERJ-170-200LR"
"N125HQ","Embraer","ERJ-175-200LR"
"N621AW","Airbus","A320-231"
"N458UA","Airbus","AirbusA320-232PAX"
"N325UP","Boeing","B767-3"
"N173SY","Embraer","ERJ175"
"N914UY","Airbus","A321-231"
"N809MD","Embraer","ERJ170-100SU"
"N707EB","Embraer","ERJ-135"
"N578NN","GE","CRJ900"
"N414ZW","Canadair","RJ-200"
"N284AT","Boeing","Boeing737-700/LR"
"N133DL","Boeing","767-300-PSGR"
"N976FD","Boeing","B-757-200"
"N879FE","Cessna","CE-208B"
"N779AN","Boeing","B777-200PASSENGER"
"N664AW","Airbus","A320-232"
"N521AE","Canadair","RJ-700"
"N373SW","Boeing","B-737-3H4"
"N235NW","McDonnell-Douglas","DC-10-3"
"N942UP","Boeing","B727-100"
"N847NN","Boeing","B737-823PASSENGER"
"N752SW","Boeing","B-737-7H4"
"N625VA","Airbus","A320-214"
"N983AN","Boeing","B737-823PASSENGER"
"N466SW","Canadair","RJ-200"
"N331UA","Boeing","B737-300PAX"
"N180DN","Boeing","B767-3"
"N918DH","McDonnell-Douglas","MD-90-30-PSGR"
"N813SW","Bombardier","CRJ900-2D24"
"N712CA","Canadair","RJ100/ER"
"N585JB","Airbus","A320-232-PSGR"
"N947SW","Canadair","RJ-200"
"N420CA","Canadair","RJ100/ER"
"N8532G","Canadair","RJ-200"
"N29124","Boeing","B757-200PAX"
"N756NW","McDonnell-Douglas","DC9-41-PSGR"
"N13992","Embraer","ERJ-145LR"
"N630WN","Boeing","B-737-3H4"
"N982AX","McDonnell-Douglas","DC-9-30"
"N8886A","Canadair","RJ-200"
"N782AS","Boeing","B737-4"
"N6709","Boeing","B757-2"
"N526NA","Boeing","B757-2"
"N921TW","McDonnell-Douglas","SUPER80PASSENGER"
"N3766","Boeing","B737-8"
"N819AN","Boeing","B787-8"
"N242PS","GE","RJ-200"
"N718AN","Boeing","B777-300PASSENGER"
"N593AA","McDonnell-Douglas","SUPER80PASSENGER"
"N426YX","Embraer","ERJ-170-200LR"
"N947CA","Canadair","RJ100/ER"
"N299SK","Embraer","Embraer-140"
"N852NN","Boeing","B737-823PASSENGER"
"N14337","Boeing","B737-3"
"N755UW","Airbus","A319-1"
"N630AX","McDonnell-Douglas","DC-10-3"
"N989FX","Cessna","C-208B"
"N475HA","Boeing","b717-200"
"N8943A","Canadair","CRJ200"
"N337JB","Embraer","E190-100-PSGR"
"N785AU","Boeing","B737-4"
"N189DR","Embraer","Legacy"
"N676AN","Boeing","B757-223PASSENGER"
"N535AS","Boeing","B737-890ALLPAX"
"N383AN","Boeing","B767-323ERPASSENGER"
"N921FD","Boeing","B-757-200"
"N250PS","GE","RJ-200"
"N818MD","Embraer","ERJ170-100SU"
"797AX","Boeing","B767-232SF"
"N717FR","JacksonSquare","A-321"
"N592JB","Airbus","A320-232-PSGR"
"N952AX","McDonnell-Douglas","DC-9-41FCARGO"
"N426FE","Airbus","A310-2CF"
"N856NW","Airbus","A330-PSGR"
"N299","Boeing","737-700PASSENGERONLY"
"N761CK","Boeing","767-341ER"
"N142SY","Embraer","ERJ175"
"N636","Boeing","B737-3"
"N484WN","Boeing","B737-7/L"
"N344NW","Airbus","A320-PSGR"
"N893AT","Boeing","Boeing717-200"
"N199AJ","Boeing","B727-2"
"N7854B","Boeing","B-737-71B"
"N675FE","Airbus","A300-600"
"N53442","Boeing","B737-900ERPAX"
"N924WN","Boeing","B-737-7H4"
"N382DA","Boeing","B737-8"
"N823AS","Canadair","RJ-200"
"N24FE","Douglas","0"
"N724CK","Boeing","B727-2"
"785AX","Boeing","B767-232SF"
"N601JM","Challenger","Challenger6011A"
"N432YX","Embraer","ERJ-170-200LR"
"N305","Boeing","B737-3"
"N14922","Embraer","EMB-145"
"N998DL","McDonnell-Douglas","MD-88-PSGR"
"N483UA","Airbus","AirbusA320-232PAX"
"N900WN","Boeing","B-737-7H4"
"N343WN","Boeing","737-300PASSENGERONLY"
"N789FD","Boeing","757-200"
"N198CJ","Saab","Saab340B"
"N681BR","Canadair","RJ-200"
"N546FF","GE","CRJ701"
"N390AE","SAAB","SF-340/A"
"N257SY","Embraer","ERJ175"
"N102FD","GulfStream","GulfStream200"
"N956FD","Boeing","B-757-200"
"N8613K","Boeing","B-737-8H4"
"N76529","Boeing","B737-800PAX"
"N641JB","Airbus","A320-232-PSGR"
"N492UA","Airbus","AirbusA320-232PAX"
"N351PH","DeHavilland","DHC8-200"
"N206JQ","Embraer","ERJ-175-200LR"
"N928AS","Canadair","RJ-200"
"N828DN","Boeing","737-932ER-PSGR"
"N730SW","Boeing","B-737-7H4"
"N605SW","Boeing","B-737-3H4"
"N439","Boeing","737-700PASSENGERONLY"
"N309AT","Boeing","B737-700-psgr"
"N155MW","Bombardier","CL600-2B19PSGR"
"n528ca","Bombardier","CRJ200"
"N903NK","Airbus","A-320-PSGR"
"N795FE","Cessna","CE-208B"
"N688AE","Embraer","ERJ-145"
"N555AY","Airbus","A321-231"
"N932AE","Embraer","ERJ-145"
"N397SW","Boeing","B-737-3H4"
"N265","Boeing","737-700PASSENGERONLY"
"N11187","Embraer","ERJ-145XR"
"N9615W","McDonnell-Douglas","SUPER80PASSENGER"
"N8639B","Boeing","B-737-8H4"
"N77014","Boeing","B777-200PAX"
"N646UA","Boeing","B767-322ERPAX"
"n8883e","Bombardier","CRJ200"
"N501AA","McDonnell-Douglas","SUPER80PASSENGER"
"N906SW","Canadair","RJ-200"
"N357","Boeing","B737-3"
"N8027D","Airbus","A319-115"
"N213FE","Boeing","B727-2"
"N69806","Boeing","B737-900ERPAX"
"N564AA","McDonnell-Douglas","SUPER80PASSENGER"
"N931EV","Bombardier","CRJ200-2B19"
"N8316","Boeing","737-800PASSENGERONLY"
"N737LE","Boeing","737-75V"
"N610AU","Boeing","B757-2"
"N965N","McDonnell-Douglas","DC9-30-PSGR"
"N445CA","Canadair","RJ-200"
"N8673D","Canadair","RJ-200"
"N314AW","Boeing","B737-3S3"
"N77295","Boeing","B737-800PAX"
"N162HL","Embraer","ERJ-190-100AR"
"N652ML","Canadair","CRJ-2/4"
"N506WN","Boeing","737-500PASSENGERONLY"
"n8808h","Bombardier","CRJ200"
"N363FE","McDonnell-Douglas","DC-10-10"
"N906FD","Douglas","B757-2"
"N220NN","Embraer","ERJ-175"
"N801FX","ATR","ATR72"
"N697","Boeing","B737-3"
"N563FE","McDonnell-Douglas","DC-10-10"
"N934UP","Boeing","B727-100"
"N403SW","Canadair","RJ-200"
"N834UA","Airbus","AirbusA319-131PAX"
"N271UP","McDonnell-Douglas","MD-11F"
"N743SA","Boeing","B-747-400"
"N120HQ","Embraer","ERJ-175-200LR"
"N616AE","Embraer","ERJ-145"
"N451QX","DeHavilland","DHC8-400"
"N965AS","McDonnell-Douglas","MD-80"
"N319NV","Airbus","A319"
"N866FE","Cessna","CE-208B"
"N16919","Embraer","ERJ-145LR"
"N77261","Boeing","B737-800PAX"
"N652","Boeing","B737-3"
"N506JB","Airbus","A320-232-PSGR"
"N910CS","Dassault","DASSAULT-FALCON-2000"
"N362PX","Saab","Saab340B"
"N805ME","McDonnell-Douglas","MD-80"
"N219NV","Airbus","A320"
"N70353","Boeing","B737-3"
"N570UA","Boeing","B757-222PAX"
"N409AV","Raytheon","Hawker800XP"
"N934EV","Canadair","RJ-200"
"N278AK","Boeing","B737-990ERALLPAX"
"N834AL","Boeing","B737-1/2"
"N126FE","Boeing","767-3S2F"
"N742WA","Boeing","B747-F"
"N615JB","Airbus","A320-232-PSGR"
"N971AN","Boeing","B737-823PASSENGER"
"N973AS","McDonnell-Douglas","MD-80"
"N453AW","Canadair","RJ-200"
"N873SJ","McDonnell-Douglas","DC8-73F"
"N321CJ","Saab","Saab340B"
"N775AX","Boeing","B767-232SF"
"N170PQ","Bombardier","RJ-900"
"N660CC","Beech","RaytheonBeech"
"N516MC","Boeing","B747-2/3"
"N37208","Canadair","RJ-200"
"N230NV","Airbus","A320"
"N940AS","McDonnell-Douglas","SUPER80PASSENGER"
"N843HK","Embraer","EMB-145"
"N750UW","Airbus","A319-112"
"N623AE","Embraer","ERJ-145"
"N461UA","Airbus","AirbusA320-232PAX"
"N328JB","Embraer","E190-100-PSGR"
"N175UA","Boeing","B747-422PAX"
"N916DL","McDonnell-Douglas","MD-88-PSGR"
"N811AA","Dassault","FALCON-20D"
"N708UW","Airbus","A319-112"
"N581BJ","Airbus","A320-1/2"
"N417AA","McDonnell-Douglas","SUPER80PASSENGER"
"N286UP","McDonnell-Douglas","MD-11F"
"N136DL","Boeing","B767-3"
"N978NN","Boeing","B737-823"
"N88301","Embraer","EMB-175-PSGR"
"N780FE","Cessna","CE-208B"
"N667FE","Airbus","A300-600"
"N523AE","Canadair","RJ-700"
"N919TW","McDonnell-Douglas","SUPER80PASSENGER"
"N3747D","Boeing","B737-8"
"N237WN","Boeing","B737-7/L"
"N944F","McDonnell-Douglas","DC-9-30"
"N8509U","Boeing","B-737-8H4"
"N753WN","Boeing","737-700PASSENGERONLY"
"N627SW","Boeing","B-737-3H4"
"N986AN","Airbus","A321-231"
"N469AW","Canadair","RJ-200"
"N891FE","Cessna","CE-208B"
"N333DX","Airbus","A321-211-PSGR"
"N784","Boeing","B737-7/L"
"N183JB","Embraer","EMB-190"
"N672BR","Canadair","RJ-200"
"N529FE","McDonnell-Douglas","MD11"
"N919FD","Douglas","B757-2"
"N815FX","ATR","ATR72"
"N713TW","Boeing","B757-2"
"N587UW","Airbus","A321-231"
"N949FD","Boeing","B-757-200"
"N422UA","Airbus","AirbusA320-232PAX"
"N8541W","Boeing","B-737-8H4"
"N293UP","McDonnell-Douglas","MD-11F"
"N758US","Airbus","A319-112"
"N14106","Boeing","B757-200PAX"
"N632SW","Boeing","B-737-3H4"
"N479","Boeing","737-700PASSENGERONLY"
"N985AT","Boeing","Boeing717-200"
"N340RC","SAAB","Saab340"
"N8911E","McDonnell-Douglas","DC9-10-PSGR"
"N193SY","Embraer","ERJ175"
"N783FD","Boeing","757-200"
"N671NK","Airbus","A-321-PSGR"
"N528SW","Boeing","B-737-5H4"
"N922WN","Boeing","B-737-7H4"
"N378","Boeing","B737-3"
"N820NN","Boeing","B737-823PASSENGER"
"N24633","Boeing","B737-500PAX"
"N720AX","McDonnell-Douglas","DC10-30"
"302NV","Airbus","A319"
"N117UA","Boeing","B747-422PAX"
"N614GC","McDonnell-Douglas","DC-10-3"
"N449YV","DeHavilland","DHC8-200"
"N963NN","Boeing","B737PASSENGER"
"N317US","Airbus","A320-PSGR"
"N8658A","Boeing","B-737-8H4"
"N166US","Airbus","A321"
"N7719A","Boeing","B-737-76N"
"N650GU","GulfStream","G650"
"n922xj","Bombardier","CRJ900"
"N504US","Boeing","B757-2"
"N909AX","McDonnell-Douglas","DC-9-30"
"N361FE","McDonnell-Douglas","DC-10-10"
"N804JB","Airbus","A320-232-PSGR"
"N217NV","Airbus","A320"
"N701GS","Boeing","B-737-7H4"
"N568UA","Boeing","B757-222PAX"
"N407VA","Dornier","DO-228-PSGR"
"N933JN","Embraer","ERJ-145"
"N276AY","Airbus","A330-323X"
"N832AA","Boeing","B787-9"
"N124SY","Embraer","ERJ175"
"N741FE","Fairchild","FH-227"
"N613XJ","Canadair","RJ-200"
"N969CA","Canadair","RJ100/ER"
"N449AW","Canadair","RJ-200"
"N869RW","Embraer","ERJ-175-100LR"
"N317FR","GOAL","A-320-2NEO"
"N7740WN","Boeing","737-700PASSENGERONLY"
"N16650","Boeing","B737-500PAX"
"N656FE","Airbus","A300-600"
"N511UA","Boeing","B757-222PAX"
"N367WN","Boeing","737-300PASSENGERONLY"
"N908NN","Boeing","B737-823PASSENGER"
"N225CX","GulfStream","B-IV-450PSGR"
"N804CA","Canadair","RJ100/ER"
"N700WN","Boeing","737-700PASSENGERONLY"
"N56859","Boeing","B757-300PAX"
"N937FE","Cessna","CE-208B"
"N407AW","Canadair","RJ-200"
"N839EX","DeHavilland","DASH8-1"
"N275SK","Embraer","Embraer-145"
"N747CK","Boeing","B747-2/3"
"N123GF","Cessna","CitationBravo"
"N619FE","McDonnell-Douglas","MD11"
"N456","Boeing","737-700PASSENGERONLY"
"N323UP","Boeing","B767-3"
"N17244","Boeing","B737-800PAX"
"N510UW","Airbus","A321-231"
"N913SW","Canadair","RJ-200"
"N367AA","Boeing","B767-3"
"N808EA","Boeing","B727-2"
"N224NV","Airbus","A320"
"N705UP","McDonnell-Douglas","DC-8-71"
"N576UP","Boeing","B747-4"
"N412WN","Boeing","B737-7/L"
"N282","Boeing","B737-7/L"
"N13133","Embraer","ERJ-145XR"
"N974UY","Airbus","A321-231"
"N876DN","Boeing","737-900ER-PSGR"
"N777AU","Boeing","B737-4"
"N662AW","Airbus","A320-232"
"N519","Boeing","B737-5"
"N372SW","Boeing","B-737-3H4"
"N2333U","Boeing","B777-300ERPAX"
"N941FR","Airbus","A319-1"
"N845AS","Canadair","RJ-200"
"N751WN","Boeing","737-700PASSENGERONLY"
"N624JB","Airbus","A320-232-PSGR"
"N464AW","Canadair","RJ-200"
"N33069","Airbus","A300-600RPASSENGER"
"N177DZ","Boeing","B767-3"
"N917DL","McDonnell-Douglas","MD-88-PSGR"
"N812FR","Airbus","A318-1"
"N710DN","Boeing","777-232LR-PSGR"
"N583HA","Boeing","b767-33aER"
"N946DN","McDonnell-Douglas","MD-90-30-PSGR"
"N418UP","Boeing","B757-2"
"N28912","Boeing","B787-800PAX"
"N138UP","Airbus","A300F4-622R"
"N980AT","Boeing","Boeing717-200"
"N884FD","Boeing","B-777-FS2"
"N781AN","Boeing","B777-200PASSENGER"
"N669","Boeing","B737-3"
"N524UW","Airbus","A321-231"
"N920RW","McDonnell-Douglas","DC-9-30"
"N3755D","Boeing","B737-8"
"N817MD","Embraer","ERJ170-100SU"
"N240SY","Embraer","ERJ175"
"N716FR","JacksonSquare","A-321"
"N590UA","Boeing","B757-222PAX"
"N945UW","Embraer","ERJ190-100IGW"
"N851FD","Boeing","B-777-FS2"
"N754DH","Boeing","B727-2"
"N628WN","Boeing","737-300PASSENGERONLY"
"N987NN","Boeing","B737-823"
"N47239","Canadair","RJ-200"
"N8930E","Canadair","RJ-200"
"N335NW","Airbus","A320-PSGR"
"N784SK","Canadair","RJ-700"
"N186AN","Boeing","B757-223PASSENGER"
"N674BC","Embraer","E190-100-PSGR"
"N531US","Boeing","B757-2"
"N380WQ","DeHavilland","DHC8-Q400"
"N920EV","Bombardier","CRJ200-2B19"
"N248NV","Airbus","A320"
"N817AA","Dassault","FALCON"
"740AX","Boeing","B767-232SF"
"N715UP","McDonnell-Douglas","DC-8-71"
"N59083","McDonnell-Douglas","DC-10-3"
"N950XJ","Bombardier","RJ-900"
"N424NV","McDonnell-Douglas","MD-83"
"N8555Z","Boeing","B-737-8H4"
"N296AT","Boeing","Boeing737-700/LR"
"N76055","Boeing","B767-400PAX"
"N14198","Embraer","ERJ-145XR"
"N634AE","Embraer","ERJ-145"
"N481WN","Boeing","B737-7/L"
"N987AT","Boeing","Boeing717-200"
"N342NB","Airbus","A319-PSGR"
"N892AT","Boeing","Boeing717-200"
"N196AA","Boeing","B757-223PASSENGER"
"N784AS","Boeing","B737-4"
"N673EH","Embraer","EMB-145"
"N531AS","Boeing","B737-890ALLPAX"
"N923VA","Airbus","A321Neo"
"N380AN","Boeing","B767-323ERPASSENGER"
"N821SY","Boeing","B737-800"
"N247SY","Embraer","ERJ175"
"N722FD","Airbus","A300-600"
"421NV","McDonnell-Douglas","MD-83"
"N599AA","McDonnell-Douglas","SUPER80PASSENGER"
"N430XJ","Saab","Saab340B"
"N950FD","Boeing","B-757-200"
"N303PQ","Bombardier","CRJ-900LR-PSGR"
"N854NW","Airbus","A330-PSGR"
"N146SY","Embraer","ERJ175"
"N759CA","Canadair","RJ100/ER"
"N633RW","Embraer","ERJ-170-100SE"
"N994Z","McDonnell-Douglas","DC9-30-PSGR"
"N481","Boeing","737-700PASSENGERONLY"
"N899","Boeing","717-200PASSENGERONLY"
"N341UP","Boeing","767-34AF"
"N7880D","Boeing","B-737-7K5"
"N195PQ","Bombardier","RJ-900"
"N68053","McDonnell-Douglas","DC-10-10"
"N542JB","Airbus","A320-1/2"
"N387BC","DeHavilland","DASH8-1"
"N254WN","Boeing","B737-7/L"
"C-FEXE","Cessna","C-208B"
"N758SA","Boeing","B747-2/3"
"N632NK","Airbus","A-320-PSGR"
"N992FX","Cessna","C-208B"
"N478HA","Boeing","b717-200"
"N8974C","Canadair","CRJ200"
"N340NB","Airbus","A319-PSGR"
"N7873A","Boeing","B-737-7Q8"
"N193CJ","Saab","Saab340B"
"N679AE","Embraer","ERJ-145"
"N539EA","GE","CRJ700"
"N385HA","Airbus","a330-200"
"N922US","Airbus","A321-231"
"N820FX","ATR","ATR72"
"N720","Boeing","B737-7/L"
"N595NW","Boeing","B757-3"
"N954AT","Boeing","Boeing717-200"
"N429","Boeing","737-700PASSENGERONLY"
"N8600","Boeing","737-800PASSENGERONLY"
"N301TZ","Boeing","B737-8"
"N192SY","Embraer","ERJ175"
"N678DL","Boeing","B757-2"
"N538EG","Bombardier","CRJ700"
"N385","Boeing","B737-3"
"N922NN","Boeing","B737-823PASSENGER"
"N820AY","Canadair","RJ-200"
"N719SW","Boeing","B-737-7H4"
"N595AA","McDonnell-Douglas","SUPER80PASSENGER"
"N953WN","Boeing","B-737-7H4"
"N428UA","Airbus","AirbusA320-232PAX"
"N859GT","Boeing","B747-800"
"N301NB","Airbus","A319-114-PSGR"
"N763","Boeing","B737-7/L"
"N14543","Embraer","ERJ-145LR"
"N638AA","Boeing","B757-200PASSENGER"
"N488AA","McDonnell-Douglas","SUPER80PASSENGER"
"N991FE","Cessna","CE-208B"
"N347CJ","Saab","Saab340B"
"N8960A","Canadair","RJ-200"
"N202PS","GE","RJ-200"
"N786AN","Boeing","B777-200PASSENGER"
"N67812","Boeing","B737-900ERPAX"
"N537JT","Airbus","A320-232-PSGR"
"N926CA","Canadair","RJ100/ER"
"N384AE","SAAB","SF-340/A"
"N825AW","Airbus","A319-132"
"N251YV","Embraer","EMB-120"
"N726YX","Embraer","ERJ-170-200LR"
"873GA","McDonnell-Douglas","MD-83"
